Freq.	V(vo)
Step Information: Run=1  (Run: 1/30)
1.62181009735892e+002	(1.25735111189162e-005dB,-1.73941171103991e-001°)
1.65958690743755e+002	(1.52070488730731e-005dB,-1.77992847198769e-001°)
1.69824365246173e+002	(1.79647006876457e-005dB,-1.82138903655184e-001°)
1.73780082874936e+002	(2.08523158132105e-005dB,-1.86381539210531e-001°)
1.77827941003891e+002	(2.38760191179362e-005dB,-1.90723003841327e-001°)
1.81970085860997e+002	(2.70422241797842e-005dB,-1.95165599958545e-001°)
1.86208713666286e+002	(3.03576467469413e-005dB,-1.99711683630813e-001°)
1.90546071796323e+002	(3.38293191971379e-005dB,-2.04363665836232e-001°)
1.94984459975803e+002	(3.74646052571653e-005dB,-2.09124013743502e-001°)
1.99526231496887e+002	(4.12712155573137e-005dB,-2.13995252023038e-001°)
2.04173794466952e+002	(4.52572243312220e-005dB,-2.18979964188785e-001°)
2.08929613085403e+002	(4.94310861174347e-005dB,-2.24080793971459e-001°)
2.13796208950222e+002	(5.38016540711343e-005dB,-2.29300446723974e-001°)
2.18776162394954e+002	(5.83781984549688e-005dB,-2.34641690859789e-001°)
2.23872113856832e+002	(6.31704264449223e-005dB,-2.40107359324986e-001°)
2.29086765276776e+002	(6.81885026899629e-005dB,-2.45700351104855e-001°)
2.34422881531991e+002	(7.34430707835849e-005dB,-2.51423632765826e-001°)
2.39883291901947e+002	(7.89452760348696e-005dB,-2.57280240033573e-001°)
2.45470891568501e+002	(8.47067889199298e-005dB,-2.63273279408166e-001°)
2.51188643150956e+002	(9.07398298925818e-005dB,-2.69405929817143e-001°)
2.57039578276885e+002	(9.70571953729035e-005dB,-2.75681444307408e-001°)
2.63026799189536e+002	(1.03672284716910e-004dB,-2.82103151776887e-001°)
