x-axis,1,2,MATH
second,Volt,Volt,Volt
+52.2000E-06,+3.2539062500E+00,+5.0625000000E+00,+1.8091325323E+00
+52.3000E-06,+3.2304687500E+00,+5.0546875000E+00,+1.8239762826E+00
+52.4000E-06,+3.2109375000E+00,+5.0468750000E+00,+1.8364762827E+00
+52.5000E-06,+3.2109375000E+00,+5.0507812500E+00,+1.8392106578E+00
+52.6000E-06,+3.2539062500E+00,+5.0781250000E+00,+1.8247575326E+00
+52.7000E-06,+3.2148437500E+00,+5.0468750000E+00,+1.8349137827E+00
+52.8000E-06,+3.1484375000E+00,+5.0273437500E+00,+1.8767106583E+00
+52.9000E-06,+3.2031250000E+00,+5.0585937500E+00,+1.8567887830E+00
+53.0000E-06,+3.2343750000E+00,+5.0703125000E+00,+1.8376481578E+00
+53.1000E-06,+3.1875000000E+00,+5.0507812500E+00,+1.8622575331E+00
+53.2000E-06,+3.1562500000E+00,+5.0390625000E+00,+1.8817887834E+00
+53.3000E-06,+3.1601562500E+00,+5.0429687500E+00,+1.8849137835E+00
+53.4000E-06,+3.1914062500E+00,+5.0664062500E+00,+1.8728044083E+00
+53.5000E-06,+3.1718750000E+00,+5.0507812500E+00,+1.8798356584E+00
+53.6000E-06,+3.1367187500E+00,+5.0390625000E+00,+1.9021012837E+00
+53.7000E-06,+3.1484375000E+00,+5.0507812500E+00,+1.9001481587E+00
+53.8000E-06,+3.1562500000E+00,+5.0546875000E+00,+1.8989762837E+00
+53.9000E-06,+3.1523437500E+00,+5.0507812500E+00,+1.9013200337E+00
+54.0000E-06,+3.1210937500E+00,+5.0390625000E+00,+1.9181169090E+00
+54.1000E-06,+3.1015625000E+00,+5.0351562500E+00,+1.9333512842E+00
+54.2000E-06,+3.1289062500E+00,+5.0546875000E+00,+1.9247575341E+00
+54.3000E-06,+3.1484375000E+00,+5.0625000000E+00,+1.9149919089E+00
+54.4000E-06,+3.1132812500E+00,+5.0468750000E+00,+1.9329606592E+00
+54.5000E-06,+3.0820312500E+00,+5.0390625000E+00,+1.9532731595E+00
+54.6000E-06,+3.0898437500E+00,+5.0390625000E+00,+1.9485856594E+00
+54.7000E-06,+3.1054687500E+00,+5.0507812500E+00,+1.9462419094E+00
+54.8000E-06,+3.0898437500E+00,+5.0429687500E+00,+1.9524919095E+00
+54.9000E-06,+3.0859375000E+00,+5.0468750000E+00,+1.9587419096E+00
+55.0000E-06,+3.0781250000E+00,+5.0429687500E+00,+1.9646012846E+00
+55.1000E-06,+3.0664062500E+00,+5.0390625000E+00,+1.9735856598E+00
+55.2000E-06,+3.0976562500E+00,+5.0585937500E+00,+1.9626481596E+00
+55.3000E-06,+3.0585937500E+00,+5.0351562500E+00,+1.9759294098E+00
+55.4000E-06,+3.0234375000E+00,+5.0234375000E+00,+2.0005387852E+00
+55.5000E-06,+3.0585937500E+00,+5.0468750000E+00,+1.9876481600E+00
+55.6000E-06,+3.0742187500E+00,+5.0546875000E+00,+1.9782731599E+00
+55.7000E-06,+3.0546875000E+00,+5.0468750000E+00,+1.9911637850E+00
+55.8000E-06,+3.0312500000E+00,+5.0351562500E+00,+2.0021012852E+00
+55.9000E-06,+3.0195312500E+00,+5.0312500000E+00,+2.0106950353E+00
+56.0000E-06,+3.0351562500E+00,+5.0429687500E+00,+2.0060075353E+00
+56.1000E-06,+3.0312500000E+00,+5.0390625000E+00,+2.0079606603E+00
+56.2000E-06,+3.0234375000E+00,+5.0390625000E+00,+2.0138200354E+00
+56.3000E-06,+3.0273437500E+00,+5.0429687500E+00,+2.0153825354E+00
+56.4000E-06,+3.0195312500E+00,+5.0390625000E+00,+2.0185075355E+00
+56.5000E-06,+3.0117187500E+00,+5.0351562500E+00,+2.0216325355E+00
+56.6000E-06,+3.0000000000E+00,+5.0312500000E+00,+2.0302262856E+00
+56.7000E-06,+3.0000000000E+00,+5.0351562500E+00,+2.0329606607E+00
+56.8000E-06,+3.0000000000E+00,+5.0390625000E+00,+2.0353044107E+00
+56.9000E-06,+2.9960937500E+00,+5.0351562500E+00,+2.0403825358E+00
+57.0000E-06,+2.9960937500E+00,+5.0390625000E+00,+2.0431169108E+00
+57.1000E-06,+2.9960937500E+00,+5.0390625000E+00,+2.0431169108E+00
+57.2000E-06,+2.9843750000E+00,+5.0351562500E+00,+2.0509294109E+00
+57.3000E-06,+2.9648437500E+00,+5.0273437500E+00,+2.0614762861E+00
